planet_name,star_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,pl_insol,habitability_score,habitable
K2-329 b,K2-329,8.675766,82.6358,12.4551225,650.0,5282.0,45.7,0.0,0
K2-36 b,K2-36,1.43,4.3,1.422614,1328.0,4916.0,519.0,0.0,0
K2-36 b,K2-36,1.291,5.1,1.422586,1200.0,4836.0,492.0,0.0,0
K2-36 b,K2-36,1.43,3.9,1.422614,1224.0,4916.0,529.0,0.0,0
K2-36 c,K2-36,2.41,26.0,5.340786,772.0,4836.0,84.0,0.0,0
K2-36 c,K2-36,3.2,7.8,5.340888,788.0,4916.0,90.0,0.0,0
K2-36 c,K2-36,3.2,7.9,5.340888,854.0,4916.0,89.0,0.0,0
K2-37 d,K2-37,2.31,12.5,14.09229,646.0,5352.0,41.3,0.05664790764790762,0
K2-38 b,K2-38,1.55,12.0,4.01593,1184.0,5757.0,465.9,0.0,0
K2-38 b,K2-38,1.54,7.3,4.01593,1266.0,5731.0,426.0,0.0,0
K2-38 b,K2-38,1.55,6.0,4.01668,1189.0,5679.0,500.0,0.0,0
K2-38 b,K2-38,1.655,7.7,4.01593,1310.0,5705.0,490.0,0.0,0
K2-38 c,K2-38,2.42,9.9,10.56103,858.0,5757.0,128.3,0.0,0
K2-38 c,K2-38,2.18,7.7,10.56104,862.0,5679.0,131.0,0.0,0
K2-38 c,K2-38,2.29,8.3,10.56103,916.0,5731.0,117.0,0.0,0
K2-38 c,K2-38,2.49,7.4,10.56103,949.0,5705.0,135.3,0.0,0
K2-39 b,K2-39,5.71,39.8,4.60497,1670.0,4912.0,1356.0,0.0,0
K2-39 b,K2-39,6.4,37.6,4.60547,1550.0,4915.0,1370.0,0.0,0
K2-415 b,K2-415,1.015,7.5,4.0179694,412.4,3173.0,4.82,0.5627887246852765,0
K2-419 A b,K2-419 A,10.55,196.0,20.35847252,377.0,3711.0,3.3,0.30635552009113287,0
K2-55 b,K2-55,4.43,44.0,2.849271,900.0,4300.0,141.3,0.0,0
K2-66 b,K2-66,2.75,16.0,5.06939,1427.0,5865.0,980.0,0.0,0
K2-66 b,K2-66,2.49,21.3,5.06963,1372.0,5887.0,840.0,0.0,0
K2-73 b,K2-73,2.58,9.2,7.49556,968.0,5867.0,209.0,0.0,0
K2-79 b,K2-79,4.09,9.2,10.9947,1022.0,5897.0,181.0,0.0,0
K2-79 b,K2-79,3.99,3.8,10.99497,925.0,5853.0,174.0,0.0,0
K2-79 b,K2-79,4.09,11.8,10.9947,1021.0,5897.0,180.0,0.0,0
